Equipo,Zona,Resultado,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Gol,%Fuera,%Bloqueado,%Palo,%Parado
Valencia,18,V,6,0,1,6,0,13,46.15,46.15,0.0,0.0,7.69
Valencia,19,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Valencia,19,V,1,0,0,1,0,2,50.0,50.0,0.0,0.0,0.0
Villarreal,2,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Villarreal,2,V,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Villarreal,3,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Villarreal,3,V,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Villarreal,5,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,6,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,7,D,6,4,4,0,0,14,0.0,42.86,28.57,0.0,28.57
Villarreal,7,E,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Villarreal,7,V,5,4,1,0,1,11,0.0,45.45,36.36,9.09,9.09
Villarreal,8,D,8,7,7,1,2,25,4.0,32.0,28.0,8.0,28.0
Villarreal,8,E,2,1,4,1,0,8,12.5,25.0,12.5,0.0,50.0
Villarreal,8,V,7,4,2,2,0,15,13.33,46.67,26.67,0.0,13.33
Villarreal,9,D,6,0,4,0,0,10,0.0,60.0,0.0,0.0,40.0
Villarreal,9,E,1,2,1,0,0,4,0.0,25.0,50.0,0.0,25.0
Villarreal,9,V,8,7,1,0,0,16,0.0,50.0,43.75,0.0,6.25
Villarreal,12,D,4,2,3,1,0,10,10.0,40.0,20.0,0.0,30.0
Villarreal,12,E,3,1,1,0,0,5,0.0,60.0,20.0,0.0,20.0
Villarreal,12,V,3,5,7,4,0,19,21.05,15.79,26.32,0.0,36.84
Villarreal,13,D,18,6,5,4,0,33,12.12,54.55,18.18,0.0,15.15
Villarreal,13,E,3,2,2,3,0,10,30.0,30.0,20.0,0.0,20.0
Villarreal,13,V,12,6,10,8,1,37,21.62,32.43,16.22,2.7,27.03
Villarreal,14,D,10,7,3,0,0,20,0.0,50.0,35.0,0.0,15.0
Villarreal,14,E,1,0,4,1,0,6,16.67,16.67,0.0,0.0,66.67
Villarreal,14,V,3,6,5,2,0,16,12.5,18.75,37.5,0.0,31.25
Villarreal,17,D,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Villarreal,17,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Villarreal,17,V,2,2,0,1,0,5,20.0,40.0,40.0,0.0,0.0
Villarreal,18,D,7,1,4,3,0,15,20.0,46.67,6.67,0.0,26.67
Villarreal,18,E,1,0,1,1,0,3,33.33,33.33,0.0,0.0,33.33
Villarreal,18,V,8,2,4,12,1,27,44.44,29.63,7.41,3.7,14.81
Villarreal,19,D,4,3,4,0,1,12,0.0,33.33,25.0,8.33,33.33
Villarreal,19,E,0,2,2,0,0,4,0.0,0.0,50.0,0.0,50.0
Villarreal,19,V,1,0,2,1,0,4,25.0,25.0,0.0,0.0,50.0
