player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Ante Budimir,13,Mallorca,4,3,3,4,0,14,28.57,21.43,21.43,28.57,0.0
Ante Budimir,14,Mallorca,2,1,0,2,0,5,40.0,20.0,0.0,40.0,0.0
Ante Budimir,17,Mallorca,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Ante Budimir,18,Mallorca,4,1,2,5,1,13,30.77,7.69,15.38,38.46,7.69
Ante Budimir,19,Mallorca,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Antoine Griezmann,7,Barcelona,0,1,2,0,0,3,0.0,33.33,66.67,0.0,0.0
Antoine Griezmann,8,Barcelona,0,2,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Antoine Griezmann,9,Barcelona,0,1,1,1,0,3,0.0,33.33,33.33,33.33,0.0
Antoine Griezmann,12,Barcelona,3,3,1,1,0,8,37.5,37.5,12.5,12.5,0.0
Antoine Griezmann,13,Barcelona,7,3,3,4,0,17,41.18,17.65,17.65,23.53,0.0
Antoine Griezmann,14,Barcelona,2,2,6,1,0,11,18.18,18.18,54.55,9.09,0.0
Antoine Griezmann,17,Barcelona,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Antoine Griezmann,18,Barcelona,2,1,0,1,0,4,50.0,25.0,0.0,25.0,0.0
Antonio Barragán,7,Real Betis,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Antonio Barragán,17,Real Betis,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Antonio Puertas,7,Granada,2,2,1,0,0,5,40.0,40.0,20.0,0.0,0.0
Antonio Puertas,8,Granada,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Antonio Puertas,9,Granada,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Antonio Puertas,12,Granada,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Antonio Puertas,13,Granada,5,1,0,2,1,9,55.56,11.11,0.0,22.22,11.11
Antonio Puertas,14,Granada,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0
Antonio Puertas,18,Granada,4,0,0,3,0,7,57.14,0.0,0.0,42.86,0.0
Antonio Puertas,19,Granada,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Antoñin,13,Granada,0,1,1,0,0,2,0.0,50.0,50.0,0.0,0.0
Antoñin,18,Granada,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Antoñito,13,Real Valladolid,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Aridai Cabrera,14,Mallorca,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Aritz Elustondo,12,Real Sociedad,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Arthur,8,Barcelona,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Arthur,14,Barcelona,0,0,1,1,0,2,0.0,0.0,50.0,50.0,0.0
Arthur,18,Barcelona,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Arturo Vidal,8,Barcelona,2,0,1,0,0,3,66.67,0.0,33.33,0.0,0.0
Arturo Vidal,12,Barcelona,0,0,2,2,0,4,0.0,0.0,50.0,50.0,0.0
Arturo Vidal,13,Barcelona,0,2,1,3,0,6,0.0,33.33,16.67,50.0,0.0
Arturo Vidal,17,Barcelona,2,0,0,0,1,3,66.67,0.0,0.0,0.0,33.33
Arturo Vidal,18,Barcelona,2,0,1,2,0,5,40.0,0.0,20.0,40.0,0.0
